CO2 (ppmv),Year
232.28,-130026.24242424243
241.13,-129372.19999999998
250.84,-128868.36363636365
251.84,-128423.0303030303
260.61,-127705.63636363635
268.44,-127128.03636363636
271.08,-126928.0
285.76,-126516.72727272726
280.72,-126222.66666666669
276.03,-126074.47636363636
276.88,-125553.5496969697
275.78,-125363.8303030303
274.93,-125012.0303030303
273.02,-124749.90909090907
275.15,-124063.70303030303
276.81,-123342.63333333336
275.52,-122867.45454545454
281.54,-122454.51515151517
275.87,-122009.48484848483
274.6,-121680.90909090907
279.16,-121063.95454545454
279.0,-120342.36363636365
278.25,-120150.00181818182
276.61,-119891.9696969697
279.48,-119476.01515151517
276.82,-118592.90909090907
268.73,-118194.12121212122
274.59,-117765.5
267.74,-117292.51515151517
277.72,-116708.26969696968
274.98,-115669.36363636365
274.03,-115235.55454545454
273.63,-114525.57575757576
273.16,-113958.57575757576
276.96,-113496.67272727271
275.07,-112865.39393939394
267.9,-112300.0
260.58,-111728.63636363635
264.75,-111169.2696969697
263.12,-110991.72727272728
256.79,-110686.06060606062
257.93,-109926.80000000002
246.69,-108605.36363636365
244.13,-107889.9696969697
244.44,-107179.41818181818
236.43,-106451.90909090907
240.34,-105024.81818181818
244.83,-104418.25454545456
241.4,-104306.37575757576
257.58,-104039.87272727274
248.78,-103557.14848484848
242.36,-103016.44545454546
238.88,-102381.2290909091
247.76162928794557,-102324.33333333334
240.68407213384208,-101358.74000000002
237.07327561500705,-100814.77666666664
240.0715355271941,-100021.885
244.762424566832,-99375.67500000002
247.872113110669,-98593.17833333334
245.62557787811392,-98126.84966666665
242.98971287919505,-97411.42233333336
243.179887786166,-96633.724
239.85849997327503,-95977.46450000002
242.35406601147716,-95320.891
245.7647295013877,-94524.88033333336
246.19646528867355,-93971.48316666664
242.9141171772084,-93284.11400000002
242.40636016295772,-92618.54833333332
238.2070953273144,-91873.21366666668
235.1600042216258,-91474.7096
232.45568865935812,-90717.81750000002
233.7418402936756,-89999.738
231.12075636405777,-89495.03066666667
231.55865048827812,-88884.015
229.73738145870652,-88367.294
228.87834564758057,-87746.25753333332
227.3783735355835,-87294.71600000001
223.98941409211108,-86751.04959999997
217.8009629500103,-86186.18
223.62974404078184,-85631.18
221.05561058442584,-85077.63600000001
223.3774166240217,-84548.32453333335
228.7630419503089,-83940.6938333333
234.68610329976863,-83417.46933333334
238.42310352799865,-82986.76899999997
243.16072770547603,-82407.43850000002
250.78745315401204,-81990.89999999997
247.1003682352176,-81604.11216666667
246.32246412221588,-81038.26099999998
240.87295493897983,-80576.7192
238.88896579028287,-80118.79049999997
234.13416436720672,-79761.43100000001
230.32953997112173,-79256.94249999998
233.92301778529907,-78771.78550000001
230.6005847869417,-78380.36249999997
234.7426828516585,-77927.75800000002
229.25533496544975,-77460.36299999998
227.2993454606292,-77019.54013333334
224.1427524434798,-76557.94999999998
226.64717080896844,-76130.753
224.91795384960736,-75665.91499999998
231.68344444807624,-75106.4805
238.01317290414423,-74746.73599999998
239.34140543854343,-74297.47216666667
249.9395723649484,-73900.65049999999
249.52367746086176,-73595.13366666668
243.2700059361268,-73117.95149999997
241.2403946279206,-72575.645
231.3339802376306,-72271.48233333335
232.73507960739272,-71800.95566666668
230.89095840633556,-71269.31633333334
232.33476105332247,-70916.04366666666
232.7908655423784,-70540.14999999998
239.45635365708617,-70142.81486666668
237.5634446299485,-69743.65023333335
235.01577011604036,-69329.16903333334
225.17215906542415,-68978.87216666664
220.32661122546068,-68477.26266666668
215.55081317503783,-68102.1648
211.2583877926514,-67642.01713333334
205.42035908699597,-67131.5285
203.42547248921588,-66669.99346666667
200.17043811242027,-66196.18849999999
203.758804582249,-65779.6785
201.14189964947187,-65364.587499999994
207.20522458616009,-65009.710666666666
204.3859977224767,-64489.3055
200.59108353507256,-63987.23266666668
198.17360428453375,-63814.51269999999
208.9757824141881,-63596.44649999999
