temp,Year,celsius,anomaly
210.2,-61119.18,-62.94999999999999,-7.211494252873571
209.8,-61175.52,-63.349999999999966,-7.611494252873548
209.6,-61233.74,-63.54999999999998,-7.811494252873565
209.9,-61293.56,-63.24999999999997,-7.511494252873554
211.2,-61350.73,-61.94999999999999,-6.211494252873571
209.5,-61405.27,-63.64999999999998,-7.91149425287356
209.5,-61463.71,-63.64999999999998,-7.91149425287356
209.6,-61524.03,-63.54999999999998,-7.811494252873565
209.9,-61584.1,-63.24999999999997,-7.511494252873554
210.2,-61642.26,-62.94999999999999,-7.211494252873571
209.3,-61700.02,-63.849999999999966,-8.111494252873548
209.0,-61761.55,-64.14999999999998,-8.41149425287356
209.8,-61824.4,-63.349999999999966,-7.611494252873548
210.0,-61883.86,-63.14999999999998,-7.41149425287356
207.9,-61942.85,-65.24999999999997,-9.511494252873554
209.2,-62010.85,-63.94999999999999,-8.211494252873571
209.2,-62075.16,-63.94999999999999,-8.211494252873571
209.0,-62137.83,-64.14999999999998,-8.41149425287356
209.5,-62201.11,-63.64999999999998,-7.91149425287356
209.1,-62263.04,-64.04999999999998,-8.311494252873565
209.4,-62325.57,-63.74999999999997,-8.011494252873554
209.6,-62387.41,-63.54999999999998,-7.811494252873565
209.9,-62447.55,-63.24999999999997,-7.511494252873554
211.5,-62504.43,-61.64999999999998,-5.91149425287356
211.6,-62556.12,-61.54999999999998,-5.811494252873565
210.1,-62607.63,-63.04999999999998,-7.311494252873565
211.8,-62661.23,-61.349999999999966,-5.611494252873548
209.5,-62714.57,-63.64999999999998,-7.91149425287356
210.5,-62771.55,-62.64999999999998,-6.91149425287356
210.6,-62827.68,-62.54999999999998,-6.811494252873565
211.3,-62882.61,-61.849999999999966,-6.111494252873548
210.9,-62934.15,-62.24999999999997,-6.511494252873554
209.9,-62987.45,-63.24999999999997,-7.511494252873554
209.3,-63046.66,-63.849999999999966,-8.111494252873548
210.0,-63107.54,-63.14999999999998,-7.41149425287356
209.6,-63166.96,-63.54999999999998,-7.811494252873565
209.1,-63227.35,-64.04999999999998,-8.311494252873565
209.7,-63290.5,-63.44999999999999,-7.711494252873571
210.2,-63350.45,-62.94999999999999,-7.211494252873571
209.6,-63409.1,-63.54999999999998,-7.811494252873565
209.3,-63469.54,-63.849999999999966,-8.111494252873548
210.0,-63531.62,-63.14999999999998,-7.41149425287356
209.2,-63590.73,-63.94999999999999,-8.211494252873571
210.1,-63652.83,-63.04999999999998,-7.311494252873565
209.1,-63713.05,-64.04999999999998,-8.311494252873565
209.4,-63775.72,-63.74999999999997,-8.011494252873554
209.6,-63838.09,-63.54999999999998,-7.811494252873565
209.5,-63899.3,-63.64999999999998,-7.91149425287356
210.7,-63959.3,-62.44999999999999,-6.711494252873571
210.6,-64015.740000000005,-62.54999999999998,-6.811494252873565
208.6,-64072.880000000005,-64.54999999999998,-8.811494252873565
210.0,-64137.94,-63.14999999999998,-7.41149425287356
209.4,-64197.48,-63.74999999999997,-8.011494252873554
209.7,-64258.990000000005,-63.44999999999999,-7.711494252873571
209.2,-64320.34,-63.94999999999999,-8.211494252873571
209.0,-64383.240000000005,-64.14999999999998,-8.41149425287356
209.6,-64447.72,-63.54999999999998,-7.811494252873565
208.8,-64510.48,-64.34999999999997,-8.611494252873548
209.9,-64574.7,-63.24999999999997,-7.511494252873554
209.4,-64634.990000000005,-63.74999999999997,-8.011494252873554
209.0,-64697.98,-64.14999999999998,-8.41149425287356
208.8,-64762.84,-64.34999999999997,-8.611494252873548
209.6,-64828.52,-63.54999999999998,-7.811494252873565
209.1,-64890.67,-64.04999999999998,-8.311494252873565
208.8,-64955.41,-64.34999999999997,-8.611494252873548
208.9,-65021.490000000005,-64.24999999999997,-8.511494252873554
209.2,-65087.45,-63.94999999999999,-8.211494252873571
208.5,-65152.17,-64.64999999999998,-8.91149425287356
209.2,-65218.94,-63.94999999999999,-8.211494252873571
209.2,-65283.83,-63.94999999999999,-8.211494252873571
209.5,-65347.33,-63.64999999999998,-7.91149425287356
209.3,-65409.89,-63.849999999999966,-8.111494252873548
210.5,-65471.87,-62.64999999999998,-6.91149425287356
208.6,-65530.23,-64.54999999999998,-8.811494252873565
209.7,-65596.31,-63.44999999999999,-7.711494252873571
209.9,-65658.18,-63.24999999999997,-7.511494252873554
209.1,-65719.24,-64.04999999999998,-8.311494252873565
209.1,-65783.09,-64.04999999999998,-8.311494252873565
209.8,-65847.21,-63.349999999999966,-7.611494252873548
209.3,-65908.85,-63.849999999999966,-8.111494252873548
208.7,-65972.29,-64.44999999999999,-8.711494252873571
209.5,-66038.89,-63.64999999999998,-7.91149425287356
208.9,-66102.18,-64.24999999999997,-8.511494252873554
209.1,-66167.46,-64.04999999999998,-8.311494252873565
208.9,-66232.92,-64.24999999999997,-8.511494252873554
209.5,-66298.79,-63.64999999999998,-7.91149425287356
209.4,-66362.25,-63.74999999999997,-8.011494252873554
208.9,-66425.73,-64.24999999999997,-8.511494252873554
209.5,-66491.36,-63.64999999999998,-7.91149425287356
210.5,-66553.09,-62.64999999999998,-6.91149425287356
209.2,-66612.52,-63.94999999999999,-8.211494252873571
209.2,-66675.52,-63.94999999999999,-8.211494252873571
209.0,-66740.27,-64.14999999999998,-8.41149425287356
211.2,-66803.66,-61.94999999999999,-6.211494252873571
209.4,-66861.41,-63.74999999999997,-8.011494252873554
209.7,-66922.2,-63.44999999999999,-7.711494252873571
210.0,-66984.06,-63.14999999999998,-7.41149425287356
209.2,-67044.38,-63.94999999999999,-8.211494252873571
208.7,-67109.06,-64.44999999999999,-8.711494252873571
208.8,-67176.57,-64.34999999999997,-8.611494252873548
209.0,-67244.12,-64.14999999999998,-8.41149425287356
210.5,-67308.69,-62.64999999999998,-6.91149425287356
210.2,-67367.97,-62.94999999999999,-7.211494252873571
210.4,-67426.24,-62.74999999999997,-7.011494252873554
210.7,-67484.29,-62.44999999999999,-6.711494252873571
210.1,-67540.74,-63.04999999999998,-7.311494252873565
210.5,-67599.45,-62.64999999999998,-6.91149425287356
209.7,-67658.06,-63.44999999999999,-7.711494252873571
210.1,-67718.66,-63.04999999999998,-7.311494252873565
208.8,-67779.24,-64.34999999999997,-8.611494252873548
209.3,-67845.61,-63.849999999999966,-8.111494252873548
209.3,-67910.4,-63.849999999999966,-8.111494252873548
208.5,-67975.31,-64.64999999999998,-8.91149425287356
209.4,-68043.61,-63.74999999999997,-8.011494252873554
208.6,-68109.09,-64.54999999999998,-8.811494252873565
209.5,-68176.72,-63.64999999999998,-7.91149425287356
209.0,-68240.94,-64.14999999999998,-8.41149425287356
