year,month,meant,rain
2011,5,11.4,37.0
2011,6,12.0,64.3
2011,7,13.8,42.6
2011,8,13.5,39.7
2011,9,14.0,65.2
2011,10,11.8,169.5
2011,11,9.7,48.5
2011,12,5.8,51.9
2012,1,6.1,63.0
2012,2,6.6,20.5
2012,3,8.0,25.6
2012,4,6.6,90.2
2012,5,9.8,60.4
2012,6,12.7,147.7
2012,7,14.0,85.3
2012,8,15.3,78.1
2012,9,12.0,83.4
2012,10,8.4,71.0
2012,11,6.4,72.0
2012,12,5.4,52.3
2013,1,4.9,94.4
2013,2,4.2,47.3
2013,3,3.1,85.5
2013,4,6.8,40.1
2013,5,10.0,45.8
2013,6,12.7,60.8
2013,7,16.7,68.8
2013,8,15.6,48.5
2013,9,13.0,35.1
2013,10,11.7,127.8
2013,11,6.3,26.6
2013,12,6.9,83.2
2014,1,5.7,101.6
2014,2,5.6,88.5
2014,3,6.8,53.7
2014,4,8.9,34.2
2014,5,11.3,91.5
2014,6,13.6,36.2
2014,7,15.8,35.0
2014,8,13.9,173.0
2014,9,13.1,26.5
2014,10,10.9,90.2
2014,11,7.7,140.9
2014,12,5.4,55.9
2015,1,4.7,47.7
2015,2,4.0,34.6
2015,3,5.8,57.5
2015,4,7.4,43.9
2015,5,9.6,90.5
2015,6,12.9,14.1
2015,7,13.8,69.2
2015,8,14.0,100.1
2015,9,11.8,56.6
2015,10,10.2,49.1
2015,11,8.7,121.6
2015,12,8.6,193.5
2016,1,5.7,118.4
2016,2,4.4,59.7
2016,3,5.9,36.3
2016,4,6.2,88.2
2016,5,11.1,46.8
2016,6,14.0,58.5
2016,7,15.7,43.7
2016,8,15.4,61.9
2016,9,14.3,56.6
2016,10,10.4,60.0
2016,11,5.6,36.9
2016,12,6.7,46.6
2017,1,5.7,21.9
2017,2,6.2,41.6
2017,3,7.7,67.2
2017,4,8.0,10.0
2017,5,11.6,43.5
2017,6,14.4,86.4
2017,7,15.0,42.2
2017,8,14.6,73.2
2017,9,12.4,82.3
2017,10,11.2,47.8
2017,11,6.5,81.5
2017,12,5.3,63.1
2018,1,5.3,93.1
2018,2,3.4,36.9
2018,3,4.3,100.0
2018,4,8.1,68.9
2018,5,11.4,19.1
2018,6,14.5,4.8
2018,7,16.1,40.0
2018,8,15.3,48.0
2018,9,12.2,43.8
2018,10,9.3,42.6
2018,11,8.2,131.2
2018,12,7.7,81.0
2019,1,5.1,26.8
2019,2,7.0,30.5
2019,3,7.3,92.5
2019,4,8.0,74.6
2019,5,10.2,33.4
2019,6,12.5,82.9
2019,7,15.9,41.0
2019,8,15.4,91.9
2019,9,13.0,104.6
2019,10,9.1,77.2
2019,11,6.0,173.0
2019,12,5.9,57.7
